Date,Rainfall_Bastia_Umbra,Depth_to_Groundwater_P25,Temperature_Bastia_Umbra,Temperature_Petrignano,Volume_C10_Petrignano,Hydrometry_Fiume_Chiascio_Petrignano
1/1/2009,0,-31.14,5.2,4.9,-24530.688,2.4
2/1/2009,0,-31.11,2.3,2.5,-28785.888,2.5
3/1/2009,0,-31.07,4.4,3.9,-25766.208,2.4
4/1/2009,0,-31.05,0.8,0.8,-27919.296,2.4
5/1/2009,0,-31.01,-1.9,-2.1,-29854.656,2.3
6/1/2009,0,-31,-0.7,-0.7,-29124.576,2.3
7/1/2009,0,-30.96,1.5,-0.3,-31173.12,2.3
8/1/2009,0,-30.94,4.3,6.6,-30232.224,2.4
9/1/2009,0.9,-30.93,4.9,4.8,-30597.696,2.3
10/1/2009,0,-30.87,1.9,4.2,-31337.28,2.3
11/1/2009,0,-30.83,3.4,4.5,-29845.152,2.3
12/1/2009,0,-30.74,3.3,3.9,-28745.28,2.3
13/01/2009,1.1,-30.63,6,6.3,-28932.768,2.3
14/01/2009,0,-30.55,8.2,8.1,-28600.128,2.3
15/01/2009,0,-30.57,7.8,7.1,-24973.056,2.3
16/01/2009,0,-30.61,5.1,5.3,-31388.256,2.3
17/01/2009,0,-30.68,1.6,1.6,-30941.568,2.3
18/01/2009,0.1,-30.41,6.4,6.4,-23043.744,2.3
19/01/2009,0.1,-30.28,10.3,10.3,-21658.752,2.3
20/01/2009,0,-30.21,12.1,12,-23793.696,2.3
21/01/2009,0,-30.18,9.4,9,-22443.264,2.3
22/01/2009,0,-30.15,7.7,7.6,-22976.352,2.3
23/01/2009,0,-30.08,6,5.6,-23939.712,2.3
24/01/2009,0,-29.97,8.3,7.7,-24362.208,2.4
25/01/2009,4.1,-30.04,6.3,6.6,-23709.888,2.6
26/01/2009,0,-29.97,3.8,0,-22446.72,2.6
27/01/2009,0,-29.96,5.8,8.1,-24992.064,2.7
28/01/2009,0,-29.96,5.6,4.8,-24554.016,2.6
29/01/2009,0,-29.93,4.6,4.5,-24059.808,2.6
30/01/2009,0,-29.93,6.5,5.9,-26126.496,2.5
31/01/2009,0,-29.86,3,3.4,-26694.144,2.5
1/2/2009,0,-29.74,3.8,4.1,-22536.576,2.5
2/2/2009,0,-29.71,4.7,5.1,-25226.208,2.4
3/2/2009,2.9,-29.71,9.1,9.1,-28696.032,2.5
4/2/2009,7,-29.65,8.7,8.3,-23134.464,2.5
5/2/2009,0.1,-29.67,11.4,10.9,-26933.472,2.5
6/2/2009,0,-29.54,10.5,10.1,-25482.816,2.8
7/2/2009,0,-29.5,9.3,8.9,-25976.16,2.8
8/2/2009,0.4,-29.48,7,6.7,-24349.248,2.9
